date,venue,city,state,country,setlist,link
2009.03.07,Roseland Theater,Portland,OR,USA,"SET: Murph, Lo Swaga, Beyond Right Now, Shock Doctrine, Peaceblaster '68> Peaceblaster '08, Dem Be, Once Told, Be Nice, Peoples, Djunya Tokyu Remix, Lion, Open E, Murph, Vulcan, The Unquestionable Supremacy of Nature. E: Murph, Heavy, Moon Socket.",http://digital.1320records.com/search/release.php?RELEASE_ID=395
2009.03.06,Roseland Theater,Portland,OR,USA,"SET: Rent, West, Tooth, Abcees, Mischief of a Sleepwalker, Tether Ball Triumph> Umbra> Arp> Atlas, Aimlessly, Murph, Jebez, Hidden Hand, Hidden Fist> Metameme, New New 4 U U, Inspire Strikes Back. Encore: Murph, Empires remix, EHM.",http://digital.1320records.com/search/release.php?RELEASE_ID=394
2009.03.05,McDonald Theater,Eugene,OR,USA,"SET: Murph, Empires> The New Soma, This, Us, Grizzly, F. Word, Today, 118, One a Day, Murph, Central, Grow, Equinox, The Rabble, Arigato. E: Murph, Somesing, Circus, Instantly.",http://digital.1320records.com/search/release.php?RELEASE_ID=393
2009.03.01,The Fillmore,San Francisco,CA,USA,"SET 1: Baraka, F Word, Move My Peeps, Once Told, Bigs, STS9, Open E, Murph
SET 2: Central, Really What?, Tap-In, We'll Meet In Our Dreams, Dance, Hi-Key. E: Murph, Roygbiv> Hubble",http://digital.1320records.com/search/release.php?RELEASE_ID=392
2009.02.28,The Fillmore,San Francisco,CA,USA,"SET: Lion, Shock Doctrine, Tooth, Instantly, Empires, The New Soma, Water Song, One a Day, Tether Ball Triumph> Umbra> Arp> Atlas, Vulcan, 1103, EHM. E: Murph, Evasive/Kamuy, New New 4 U U.",http://digital.1320records.com/search/release.php?RELEASE_ID=391
2009.02.27,The Fillmore,San Francisco,CA,USA,"SET: Murph, Heavy, Abcees, Equinox, Grizzly> This, Us, Arigato, 118, Moon Socket, Luma Daylight, Tokyo> Djunya Tokyu Remix, Inspire Strikes Back, Peaceblaster '68> Peaceblaster '08.
E: The Rabble, The Unquestionable Supremacy of Nature.",http://digital.1320records.com/search/release.php?RELEASE_ID=390
2009.02.26,The Fillmore,San Francisco,CA,USA,"SET: Murph, Be Nice, Peoples, Lo Swaga, Twilight, Metameme, Dem Be, Ramone & Emiglio, Somesing, Oh Little Brain, Empires remix, Hidden Hand, Hidden Fist, Aimlessly. E: Murph, Beyond Right Now, West, Rent.",http://digital.1320records.com/search/release.php?RELEASE_ID=389
2009.01.17 ,The Wiltern,Los Angeles,CA,USA,"SET: Beyond Right Now, Peaceblaster '68> Peaceblaster '08, One a Day, EHM, We'll Meet In Our Dreams, 1103, Lo Swaga, Murph, New New 4 U U, Looking Back On Earth, The Unquestionable Supremacy of Nature E: Rent, Abcees, Dance> Inspire Strikes Back. E 2: Murph, Arigato.",http://digital.1320records.com/search/release.php?RELEASE_ID=388
2009.01.16,The Wiltern,Los Angeles,CA,USA,"SET 1: intro, Tooth, 118, Murph, Evasive Maneuvers> Kamuy> Be Nice, Metameme, Oh Little Brain, Hidden Hand, Hidden Fist, Murph. SET 2: Shock Doctrine, The Rabble, Empires> Empires remix, The New Soma, This, Us, Aimlessly, Moon Socket. E: Murph, King Pharoah's Tomb.",http://digital.1320records.com/search/release.php?RELEASE_ID=387
2008.12.31,The Tabernacle,Atlanta,GA,USA,"SET 1: Twilight, Really What?, Beyond Right Now, Bigs> Metameme, The Rabble, Looking Back On Earth, Orbital, Murph. SET 2: Hidden Hand, Hidden Fist, Peaceblaster '68> Peaceblaster '08, The Unquestionable Supremacy of Nature, Evasive Maneuvers> Surreality> Evasive Maneuvers, New New 4 U U, Hubble, EHM. E: Murph, What Is Love?, We'll Meet In Our Dreams> Circus> We'll Meet In Our Dreams.",http://digital.1320records.com/search/release.php?RELEASE_ID=386
2008.12.30,The Tabernacle,Atlanta,GA,USA,"SET: Abcees, Inspire Strikes Back, GLOgli, 1103, The Spectacle, Dem Be, STS9, Kamuy, Tooth, Empires, Empires remix. E: The New Soma, Equinox, Mobsters> EB. E 2: Murph, From Now On.",http://digital.1320records.com/search/release.php?RELEASE_ID=385
2008.12.29,The Tabernacle,Atlanta,GA,USA,"SET: Somesing, Tokyo, Murph, Tap-In, Peoples, Jebez, F. Word, Warrior, Grow, Arigato, Shock Doctrine. E: Monkey Music, Hi-Key, Crystal Instrument, One a Day. E 2: Murph, Open E.",http://digital.1320records.com/search/release.php?RELEASE_ID=384
2008.12.28,The Tabernacle,Atlanta,GA,USA,"SET: This, Us, Rent, Murph, 118, Ramone & Emiglio, Oh Little Brain, Be Nice, Move My Peeps, Moon Socket, Aimlessly, Baraka. E: Music, Us, Instantly, Water Song. E 2: Murph, Lo Swaga.",http://digital.1320records.com/search/release.php?RELEASE_ID=383
2008.11.22,First Avenue,Minneapolis,MN,USA,"SET: Murph, The Unquestionable Supremacy of Nature, Be Nice, Shock Doctrine, Arigato, Oh Little Brain, Dem Be, Instantly, Lo Swaga, Somesing, Move My Peeps> Hubble. E: Peaceblaster '68> Peaceblaster '08, EHM, F. Word, 1103. E 2: Murph, One a Day.",http://digital.1320records.com/search/release.php?RELEASE_ID=382
2008.11.21,The Rave,Milwaukee,WI,USA,"SET: Metameme, Rent, Hidden Hand, Hidden Fist, New New 4 U U, Beyond Right Now, Empires, The New Soma, The Rabble, Inspire Strikes Back, Hi-Key. E: This, Us, Bigs, Looking Back On Earth, Tooth, Moon Socket. E 2: Murph, Aimlessly.",http://digital.1320records.com/search/release.php?RELEASE_ID=381
2008.11.20,House of Blues,Cleveland,OH,USA,"SET: Really Wut?, F. Word, Grow, Murph, Oh Little Brain, Crystal Instrument, What Is Love?, Pianoir, One a Day, Tokyo, EHM. E: Peoples, Four Year Puma, Instantly. E 2: Murph, Breathe In.",http://digital.1320records.com/search/release.php?RELEASE_ID=380
2008.11.19,Mr. Small's Theater,Millvale,PA,USA,"SET: Murph, Monkey Music, 1103, The Rabble, Shock Doctrine, Jebez, STS9, Aimlessly> Nautilus> Aimlessly, Peaceblaster '68> Peaceblaster '08, 986 Foot Tall Trees. E: Abcees, Evasive/Kamuy, Moon Socket. E 2: Murph, Be Nice.",http://digital.1320records.com/search/release.php?RELEASE_ID=379
2008.11.16,Nightclub 9:30,Washington,DC,USA,"SET: Hidden Hand, Hidden Fist, One a Day, Metameme, The Unquestionable Supremacy of Nature, By the Morning Sun, Twilight, Instantly, Murph, Open E, Rent, Beyond Right Now. E: Really Wut?, Somesing, Bigs, Lo Swaga. E 2: Murph, Peoples.",http://digital.1320records.com/search/release.php?RELEASE_ID=378
2008.11.15,Nightclub 9:30,Washington,DC,USA,"SET 1: This, Us, F. Word, Empires, The New Soma, Oh Little Brain, Peaceblaster '68> Peaceblaster '08, Hi-Key, Murph. SET 2: Shock Doctrine, Tooth, EB, The Spectacle, Blu Mood, EHM, New New 4 U U. E: Murph, Abcees.",http://digital.1320records.com/search/release.php?RELEASE_ID=377
2008.11.14, The Norva,Charlotte,NC,USA,"SET 1: Arigato, Yes~No, One a Day, Murph, Equinox, Evasive Maneuvers, Aimlessly, Murph.
SET 2: We'll Meet In Our Dreams, Moon Socket, Be Nice, Mischief of a Sleepwalker, Peoples, Inspire Strikes Back.
E: Murph, Hidden Hand, Hidden Fist.",http://digital.1320records.com/search/release.php?RELEASE_ID=376
2008.11.13,Amos' South End,Charlotte,NC,USA,"SET: Murph, 1103, STS9, Pianoir, New New 4 U U, Oh Little Brain, Breathe In, Luma Daylight, 118, Lo Swaga, Metameme. E: Dem Be, Orbital, Rent, Kamuy. E 2: Murph, The Rabble.",http://digital.1320records.com/search/release.php?RELEASE_ID=375
2008.11.12,Charleston Music Hall,Charleston,SC,USA,"SET: Murph, The Unquestionable Supremacy of Nature, Tooth, Tap-In, The New Soma, Somesing, Looking Back On Earth, Hubble, Instantly, Mobsters, Surreality> EB. E: Hidden Hand, Hidden Fist, Shock Doctrine, From Now On, EHM. E 2: Murph, Beyond Right Now.",http://digital.1320records.com/search/release.php?RELEASE_ID=54
2008.11.09,Headliner's Music Hall,Louisville,KY,USA,"SET: Bigs, F. Word, Metameme, Shock Doctrine, Frequencies Peace 2> Frequencies Peace 3, Murph, Jebez, Peaceblaster '68> Peaceblaster '08, This, Us, Be Nice. E: Moon Socket, Crystal Instrument, Tokyo, Really Wut?. E 2: Murph, Dance.",http://digital.1320records.com/search/release.php?RELEASE_ID=374
2008.11.08,Tennessee Theatre,Knoxville,TN,USA,"SET 1: Abcees, Rent, Murph, Empires, The New Soma, Move My Peeps, We'll Meet In Our Dreams, The Unquestionable Supremacy of Nature, Murph. SET 2: Beyond Right Now, Lo Swaga, Oh Little Brain, Hidden Hand, Hidden Fist, Music, Us, Evasive Maneuvers, New New 4 U U. E: Murph, Arigato.",http://digital.1320records.com/search/release.php?RELEASE_ID=373
2008.11.07,Alabama Theatre,Birmingham,AL,USA,"SET: Looking Back On Earth, STS9, Peoples, Mischief of a Sleepwalker, One a Day, Pianoir, 1103, Ramone & Emiglio, Aimlessly, EHM. E: Warrior, Equinox, Somesing, Tap-In, Murph. E 2: Gobnugget.",http://digital.1320records.com/search/release.php?RELEASE_ID=372
2008.11.06,Nashville War Memorial,Nashville,TN,USA,"SET: Murph, Shock Doctrine, Grow, F. Word, Metameme, Inspire Strikes Back, The Rabble, Be Nice, Bigs, Peaceblaster '68> Peaceblaster '08, Beyond Right Now. E: Water Song, The Spectacle, Twilight, Instantly. E 2: Murph, Hi-Key.",http://digital.1320records.com/search/release.php?RELEASE_ID=371
2008.11.05,Lyric Theatre,Oxford,MS,USA,"SET: Murph, Tooth, Moon Socket, Arigato, ...And Some Are Angels, Abcees, Lo Swaga, 118, Dem Be, The New Soma, Open E. E: Crystal Instrument, Yes~No, Rent, Hidden Hand, Hidden Fist, Murph, What Is Love?.",http://digital.1320records.com/search/release.php?RELEASE_ID=370
2008.11.02,House of Blues,New Orleans,LA,USA,"SET: Aimlessly, 1103, Somesing, Oh Little Brain, Really Wut?, Move My Peeps, F. Word, Jebez, Monkey Music, The Unquestionable Supremacy of Nature. E: New New 4 U U, Evasive/Kamuy> This, Us> One a Day. E 2: Murph, Baraka.",http://digital.1320records.com/search/release.php?RELEASE_ID=369
2008.11.01,House of Blues,Dallas,TX,USA,"SET: Peaceblaster '68> Peaceblaster '08, Lo Swaga, From Now On, The Rabble, STS9, Looking Back On Earth, Breathe In, Murph, Peoples, Pianoir, Metameme. E: Hi-Key, Equinox, Bigs                    E 2: Murph, Tooth.",http://digital.1320records.com/search/release.php?RELEASE_ID=368
2008.10.31,Stubb's BBQ,Austin,TX,USA,"SET: Twilight (tease), The New Soma, Hidden Hand, Hidden Fist, Instantly, Murph, Beyond Right Now, Abcees, King Pharoah's Tomb, New New 4 U U, Dem Be, Hubble, Shock Doctrine.
E: EHM, Moon Socket, Twilight, Inspire Strikes Back, Rent.",http://digital.1320records.com/search/release.php?RELEASE_ID=367
2008.10.29,Cain's Ballroom,Tulsa,OK,USA,"SET: Rent, F. Word, Bigs, Tooth, Circus, Really Wut?, 118, ...And Some Are Angels, Murph, Metameme, Oh Little Brain. E: Surreality> EB, Tap-In, Warrior. E 2: Murph, The Unquestionable Supremacy of Nature.",http://digital.1320records.com/search/release.php?RELEASE_ID=366
2008.10.26,Orpheum Theatre,Flagstaff,AZ,USA,"SET 1: Aimlessly (Nautilus tease), Crystal Instrument, 1103, Pianoir, Ramone & Emiglio, Peoples, Moon Socket, Murph. SET 2: New New 4 U U, Beyond Right Now, Kamuy, By the Morning Sun, Somesing, Jebez, EHM. E: Murph, Arigato.",http://digital.1320records.com/search/release.php?RELEASE_ID=365
2008.10.25,The Joint,Las Vegas,NV,USA,"SET: Evasive Maneuvers, Instantly, Murph, Lo Swaga, Abcees, What Is Love?, Shock Doctrine, Rent, Hidden Hand, Hidden Fist, The Unquestionable Supremacy of Nature. E: Murph, The New Soma, Inspire Strikes Back, Grow, Music, Us. E II: Murph, Peaceblaster '68> Peaceblaster '08.",http://digital.1320records.com/search/release.php?RELEASE_ID=364
2008.10.24,Marquee Theatre,Tempe,AZ,USA,"SET: 1103, Metameme, Hi-Key, Be Nice, Murph, Equinox, F. Word, Move My Peeps, Looking Back On Earth, Circus, Four Year Puma, Mischief of a Sleepwalker. E: Tap-In, Luma Daylight.",http://digital.1320records.com/search/release.php?RELEASE_ID=363
2008.10.23,House of Blues,Anaheim,CA,USA,"SET: Beyond Right Now, EHM, 118, Murph, Tooth, From Now On, One a Day, Arigato> Blu Mood, Aimlessly, Oh Little Brain, Moon Socket, Peaceblaster '68> Peaceblaster '08. E: Murph, Ramone & Emiglio, We'll Meet In Our Dreams, Lo Swaga.",http://digital.1320records.com/search/release.php?RELEASE_ID=362
2008.10.22,The Catalyst,Santa Cruz,CA,USA,"SET: Empires, The New Soma, Rent, Murph, Somesing, Yes~No, The Rabble, STS9, Shock Doctrine, Open E, Be Pulse, GLOgli, Hidden Hand, Hidden Fist, The Unquestionable Supremacy of Nature.
E: Murph, Kamuy> Kaya, This, Us.",http://digital.1320records.com/search/release.php?RELEASE_ID=361
2008.09.20,Street Scene,,,San Diego,"SET: The Unquestionable Supremacy of Nature, Shock Doctrine, Tooth, Rent, Murph, Metameme, Hidden Hand, Hidden Fist, Peaceblaster '68> Peaceblaster '08, Beyond Right Now, EHM, The New Soma, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=360
2008.09.06,Red Rocks Amphitheatre,Morrison,CO,USA,"SET 1: Murph, The New Soma, Peaceblaster '68> Peaceblaster '08, Ramone & Emiglio, Beyond Right Now, Looking Back On Earth, Tooth, EHM, Murph. SET 2: The Unquestionable Supremacy of Nature, Abcees, Evasive/Kamuy, Metameme, Aimlessly, Moon Socket, Shock Doctrine. E: Murph, Baraka.",http://digital.1320records.com/search/release.php?RELEASE_ID=359
2008.09.05,Red Rocks Amphitheatre,Morrison,CO,USA,"SET 1: Murph, Hidden Hand, Hidden Fist, Lo Swaga, Somesing, Water Song, The Rabble, Oh Little Brain, 118, Inspire Strikes Back, Murph. SET 2: Equinox, One a Day, Hi-Key, Jebez, Instantly, GLOgli, Rent. E: Murph, Empires.",http://digital.1320records.com/search/release.php?RELEASE_ID=358
2008.09.04,Boulder Theater,Boulder,CO,USA,"SET 1: Murph, Arigato> Monkey Music, 1103, Mischief of a Sleepwalker, The Spectacle, Breathe In> This, Us> Open E, Murph. SET 2: Be Nice, Grow, F. Word, Peoples, Yes~No, Move My Peeps, Tokyo. E: Murph, Mobsters, Surreality> EB (w/ Scottrohedron). Guests: Scottrohedron",http://digital.1320records.com/search/release.php?RELEASE_ID=357
2008.08.23,The Showbox,Seattle,WA,USA,"SET 1: Murph, Lo Swaga, Metameme, Be Nice, Somesing, Empires, The New Soma, Rent, Murph. SET 2: One a Day, Shock Doctrine, Peoples, Open E, Moon Socket, The Unquestionable Supremacy of Nature, Be Pulse. E: Murph, The Rabble.",http://digital.1320records.com/search/release.php?RELEASE_ID=356
2008.08.22,McMenamins Edgefield,Troutdale,OR,USA,"SET: Murph, Looking Back On Earth, Evasive/Kamuy, Tooth, EHM, Dem Be, Aimlessly> Nautilus> Aimlessly, Tap-In, Murph, Beyond Right Now, Oh Little Brain, Equinox, What Is Love?, Peaceblaster '68> Peaceblaster '08, interlude, Hi-Key, Hidden Hand, Hidden Fist, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=355
2008.08.16,Greek Theatre,Berkeley,CA,USA,"SET 1: Murph, Metameme, Aimlessly> Surreality> EB> Aimlessly, Beyond Right Now, Luma Daylight, Be Nice, Shock Doctrine, Murph. SET 2: Empires, The New Soma, Hidden Hand, Hidden Fist, Rent, The Unquestionable Supremacy of Nature, One a Day, Peaceblaster '68> Peaceblaster '08, Inspire Strikes Back.
E: Murph, EHM.",http://digital.1320records.com/search/release.php?RELEASE_ID=354
2008.08.15,The Independent,San Francisco,CA,USA,"SET 1: Murph, Tooth, Mischief of a Sleepwalker, 118, Circus, Crystal Instrument, Bigs, Instantly, Lo Swaga, Murph. SET 2: The Rabble, Ramone & Emiglio, 1103, Oh Little Brain, Move My Peeps, Looking Back On Earth, F. Word, Arigato. E: Murph, Somesing.",http://digital.1320records.com/search/release.php?RELEASE_ID=353
2008.08.01,Masquerade Music Park,Atlanta,GA,USA,"SET: Murph, One a Day, Beyond Right Now, Rent, Circus, Metameme, Tap-In, 118, EHM, Shock Doctrine, Peaceblaster '68> Peaceblaster '08, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=352
2008.07.31,Koka Booth Amphitheatre,Cary,NC,USA,"SET: Murph, Lo Swaga, F. Word, Mischief of a Sleepwalker, Empires> Kamuy> The New Soma, Moon Socket, Oh Little Brain, Move My Peeps> Kaya> Move My Peeps, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=351
2008.07.30,House of Blues,N. Myrtle Beach,SC,USA,"SET: Murph, The Unquestionable Supremacy of Nature, Tooth, Grow, Metameme, 1103, Dance, EHM, STS9, Looking Back On Earth, Beyond Right Now, Be Nice, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=350
2008.07.27,Pier Six Concert Pavilion,Baltimore,MD,USA,"SET: Murph, Aimlessly, Peaceblaster '68> Peaceblaster '08, Ramone & Emiglio, EHM, Empires, The New Soma, GLOgli> Crystal Instrument, Murph, Shock Doctrine, Tooth> Rent, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=349
2008.07.26,Bank of America Pavilion,Boston,MA,USA,"SET: Murph, Breathe In, Be Nice, Beyond Right Now, Music, Us, Really Wut?, Murph, The Spectacle, Hidden Hand, Hidden Fist, Instantly, The Rabble, Open E, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=348
2008.07.25,Festival Pier at Penn's Landing,Philadelphia,PA,USA,"SET: Murph, Metameme, Rent, The Unquestionable Supremacy of Nature, Hi-Key, Empires, The New Soma, One a Day, Murph, Moon Socket, Arigato, Peaceblaster '68> Peaceblaster '08, Murph, Lo Swaga.",http://digital.1320records.com/search/release.php?RELEASE_ID=347
2008.07.24,Roseland Ballroom,New York,NY,USA,"SET: Murph, Shock Doctrine, EHM, Inspire Strikes Back, Looking Back On Earth, Hubble, Oh Little Brain, Beyond Right Now, 118, 1103, Yes~No, Hidden Hand, Hidden Fist, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=346
2008.07.23,Higher Ground,So. Burlington,VT,USA,"SET 1: Murph, F. Word, Somesing, Monkey Music, The Spectacle, Move My Peeps, From Now On, Metameme, Grow, Murph. SET 2: Aimlessly, Be Nice, Murph, Improv (w/ Mike Gordon), Murph, Tooth, Luma Daylight, Tap-In, Bigs. E: Murph, Four Year Puma. Guests: Mike Gordon",http://digital.1320records.com/search/release.php?RELEASE_ID=345
2008.07.19,House of Blues,Chicago,IL,USA,"SET: Murph, The Unquestionable Supremacy of Nature, EHM, What Is Love?, The Rabble, Equinox, Instantly, Peoples, Dance (first half), This, Us, Aimlessly, Orbital> Dance (second half).
E: Murph, Looking Back On Earth, Be Nice, Lo Swaga.",http://digital.1320records.com/search/release.php?RELEASE_ID=344
2008.07.19,Charter One Pavilion at Northerly Island,Chicago,IL,USA,"SET: Murph, Empires> The New Soma, Arigato, Hidden Hand, Hidden Fist, Beyond Right Now, Kamuy, Shock Doctrine, Rent, Oh Little Brain, Peaceblaster '68> Peaceblaster '08, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=343
2008.07.18,White River Lawn,Indianapolis,IN,USA,"SET: Murph, Move My Peeps, 1103, Abcees> Evasive Maneuvers, Yes~No, Bigs, GLOgli, Jebez, Somesing, Open E, One a Day, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=342
2008.07.17,Lifestyle Communities Pavilion,Columbus,OH,USA,"SET: Murph, Inspire Strikes Back, Beyond Right Now, Pianoir> Ramone & Emiglio, Breathe In, Hi-Key, Metameme, By the Morning Sun, Lo Swaga, Moon Socket, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=341
2008.07.16,Innsbrook Pavilion,Glen Allen,VA,USA,"SET: Murph, Shock Doctrine, Hidden Hand, Hidden Fist, Tap-In, Be Pulse, The Rabble, Tokyo, 118, Really Wut?, Instantly, Peaceblaster '68> Peaceblaster '08, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=340
2008.07.15,Moonlite Gardens,Cincinnati,OH,USA,"SET: Murph, Aimlessly, Blu Mood, Be Nice, Empires, The New Soma, Oh Little Brain, F. Word, Murph, From Now On, Rent, Peoples, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=339
2008.07.12,Westfair Amphitheatre,Council Bluffs,IA,USA,"SET: Murph, One a Day, Arigato, Lo Swaga, Bigs, Oh Little Brain, Baraka, Somesing, Beyond Right Now, Yes~No, EHM, Open E, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=338
2008.07.11,Soldiers Memorial Plaza,St. Louis,MO,USA,"SET: Murph, Hidden Hand, Hidden Fist, The Rabble, Mischief of a Sleepwalker, Peaceblaster '68> Peaceblaster '08, Move My Peeps, The New Soma, Aimlessly, 118, Murph, Inspire Strikes Back, Murph. Live Off the Levee",http://digital.1320records.com/search/release.php?RELEASE_ID=337
2008.07.10,Barrymore Theatre,Madison,WI,USA,"SET: Murph, Kamuy, Bigs, Beyond Right Now, Hi-Key, Empires, GLOgli, Ramone & Emiglio, Instantly, EHM. E: Murph, Grow.",http://digital.1320records.com/search/release.php?RELEASE_ID=335
2008.07.10,Willow Island at Alliant Energy Center,Madison,WI,USA,"SET: Murph, Be Nice, Rent, Metameme, Circus, F. Word, Shock Doctrine, Oh Little Brain, Moon Socket, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=336
2008.07.05,Rothbury Festival,Rothbury,MI,USA,"SET: Murph, Peaceblaster '68, Peaceblaster '08, Lo Swaga, EHM, Tooth, Aimlessly, Murph, Oh Little Brain, 118, Arigato, Abcees> Evasive Maneuvers, Open E, Beyond Right Now, Shock Doctrine, Zinn Doctrine (A Night at the Rothbury), The Unquestionable Supremacy of Nature, Move My Peeps, The Rabble, Breathe In, Rent, Monkey Music, Hidden Hand, Hidden Fist, One a Day, Murph, Inspire Strikes Back, The New Soma, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=334
2008.06.07,Wakarusa Music Festival,Lawrence,KS,USA,"SET 1: Murph, 118, Arigato, Hubble, EHM, Metameme (aborted)> Be Nice, Metameme, Murph, Inspire Strikes Back, One a Day, F. Word, Baraka, The Unquestionable Supremacy of Nature, Tooth, Hi-Key, Rent, Murph. E: Bigs, Ramone & Emiglio.",http://digital.1320records.com/search/release.php?RELEASE_ID=333
2008.05.23,Summer Camp,Chillicothe,IL,USA,"SET: Murph, Move My Peeps, Lo Swaga> Aimlessly, Tap-In, Looking Back On Earth, Circus, Roygbiv, Somesing, The Rabble, Kamuy, EHM, Murph.",http://digital.1320records.com/search/release.php?RELEASE_ID=332
2008.05.17,House of Blues Sunset Strip,West Hollywood,CA,USA,"SET 1: The Unquestionable Supremacy of Nature, Tooth, Murph, 118, F. Word, We'll Meet In Our Dreams, This, Us, Breathe In (beginning)> Arigato, Murph. SET 2: EHM, GLOgli, Abcees> Evasive Maneuvers, From Now On, Rent, Open E, Murph. E: Moon Socket> Breathe In (ending).",http://digital.1320records.com/search/release.php?RELEASE_ID=331
2008.05.16,House of Blues Sunset Strip,West Hollywood,CA,USA,"SET 1: Murph> Inspire Strikes Back, Monkey Music, Bigs, By the Morning Sun, Common Objects Strangely Placed, Yes~No, 1103, Looking Back On Earth, Murph. SET 2: The Rabble, Be Nice, Instantly> Water Song, Really Wut?, Mischief of a Sleepwalker, One a Day, Murph. E: Aimlessly.",http://digital.1320records.com/search/release.php?RELEASE_ID=330
2008.03.07,Langerado  Festival,Big Cypress,FL,USA,"SET 1: Murph, Tooth, Bigs, The Rabble, Rent, One a Day, 118, Aimlessly (*), Murph. SET 2: EHM, Inspire Strikes Back, Be Nice, The Unquestionable Supremacy of Nature, Hi-Key, Instantly, Lo Swaga. E: Abcees, Moon Socket, Murph. *  Several brief dropouts in Aimlessly",http://digital.1320records.com/search/release.php?RELEASE_ID=329
2008.02.02,The Pageant,Saint Louis,MO,USA,"SET 1: Murph, Moon Socket, GLOgli, Big Little Scenario, Move My Peeps, Pianoir, Aimlessly, Peoples, Murph. SET 2: Kamuy, 1103, Somesing, Grow, Orbital, Instantly, Murph. E: EHM.",http://digital.1320records.com/search/release.php?RELEASE_ID=328
2008.02.01,Congress Theater,Chicago,IL,USA,"SET 1: Murph, Arigato, The Rabble, Tooth, Dem Be, Yes~No, Really Wut?, Lo Swaga, Murph. SET 2: 118, One a Day, EHM, Rent, Hi-Key, The Unquestionable Supremacy of Nature, Inspire Strikes Back, Murph. E: Bigs, Circus.",http://digital.1320records.com/search/release.php?RELEASE_ID=327
2008.01.31,Canopy Club,Urbana,IL,USA,"SET 1: Murph, Abcees, Grow, Be Pulse, Tap-In, Crystal Instrument, Once Told, Evasive Maneuvers, Murph. SET 2: Mischief of a Sleepwalker, Be Nice, Tokyo, F. Word, Open E, Aimlessly (w/ Nautilus), Murph. E: Jebez.",http://digital.1320records.com/search/release.php?RELEASE_ID=326
2008.01.30,First Avenue,Minneapolis,MN,USA,"SET 1: Murph, Bigs, GLOgli, Instantly, Frequencies Peace 2> Frequencies Peace 3, This, Us, 1103, Breathe In, Murph. SET 2: Kamuy, 118, Somesing, ...And Some Are Angels, Peoples, Moon Socket, Murph. E: The Rabble.",http://digital.1320records.com/search/release.php?RELEASE_ID=325
2008.01.29,Sokol Auditorium,Omaha,NE,USA,"SET 1: Murph, Tooth> F. Word, Music, Us, Ramone & Emiglio, Today, Blu Mood, Grow, Murph. SET 2: Be Nice, One a Day, Yes~No, Arigato, Open E, Baraka, Murph. E: Hi-Key.",http://digital.1320records.com/search/release.php?RELEASE_ID=324
2008.01.26,Fillmore Auditorium,Denver,CO,USA,"SET 1: Murph, 118, Rent, Peoples (w/ RD), 303 Improv (w/ RD), Abcees (King Pharoah tease), Dem Be, The Rabble, Murph. SET 2: Lo Swaga, Aimlessly, Move My Peeps, Block Variation (w/ RD), Arigato, Instantly, Murph. E: Rocket (w/ RD), Hubble. Guests: with Richard Devine",http://digital.1320records.com/search/release.php?RELEASE_ID=323
2008.01.25,Fillmore Auditorium,Denver,CO,USA,"Set 1: Murph, Shock Doctrine, One a Day, Kamuy, By the Morning Sun, Yes~No, Evasive Maneuvers, Be Nice, Murph.
Set 2: Tooth> The Unquestionable Supremacy of Nature, 1103, Moon Socket> Orbital, Inspire Strikes Back, Murph.
Encore: This, Us> What Is Love?.",http://digital.1320records.com/search/release.php?RELEASE_ID=322
2008.01.22,Wilma Theatre,Missoula,MT,USA,"SET 1: Murph, Tooth, Move My Peeps, Pianoir, Grow, Hi-Key, 1103, Peoples, Murph.
SET 2: Bigs, Be Nice, Breathe In, Somesing, Dem Be, Moon Socket, Murph. E: Open E.",http://digital.1320records.com/search/release.php?RELEASE_ID=321
2008.01.20,Roseland Theater,Portland,OR,USA,"SET 1: Murph, Instantly, Tap-In, GLOgli, ReEmergence, Yes~No, Inspire Strikes Back, Rent, Murph. SET 2: This, Us, Lo Swaga, One a Day, untitled, Mischief of a Sleepwalker, Circus, Murph.
E: Ramone & Emiglio.",http://digital.1320records.com/search/release.php?RELEASE_ID=320
2008.01.19,Roseland Theater,Portland,OR,USA,"SET 1: Murph, Abcees, F. Word, Blu Mood, By the Morning Sun, Once Told, Big Little Scenario, Aimlessly, Murph. SET 2: Tooth, The Rabble, Open E, Crystal Instrument, Peoples, Orbital, Murph.
E: From Now On.",http://digital.1320records.com/search/release.php?RELEASE_ID=319
